model,MAPE,RMSE,MAE
arima,6.3404542,567.10867,409.38247
naive,7.527052,690.5633,477.1628
hw,26.5653204,2091.76236,1804.97394
nn,7.7620843,602.59468,532.16035
prophet,3.296148,277.7785,206.5749
knn,13.10157,1002.077,875.8607
