model,MAPE,RMSE,MAE
arima,0.707543,84.30793,45.93423
naive,0.8763927,84.61951,57.96426
hw,0.5524685,71.12106,39.61945
nn,0.5524685,71.12106,39.61945
prophet,0.6498745,106.49993,45.86074
