model,MAPE,RMSE,MAE
arima,4.073013,349.54423,303.05571
naive,2.525833,219.0542,182.7315
hw,3.3572268,296.95511,243.56448
nn,2.853845528,262.5901251,212.516841
prophet,1.966836,177.4879,130.7855
knn,8.893509,711.4442,642.9421
